stories_id,url,media_name,media_id,title,publish_date,snapshots_id,foci_id,timespans_id,inlink_count,outlink_count,foci,facebook_share_count
468890368,https://www.washingtonpost.com/politics/trump-said-he-raised-6-million-for-vets-now-his-campaign-says-it-was-less/2016/05/20/871127a8-1d1f-11e6-b6e0-c53b7ef63b45_story.html,Washington Post,2,"Trump said he raised $6 million for vets. Now, his campaign says it was less.",2016-05-20 14:05:49,1879,,127285,115,1,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'foci_id': 1182, 'stories_id': 468890368}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 468890368}, {'name': 'Emails', 'focal_set_name': 'Emails', 'foci_id': 1171, 'stories_id': 468890368}, {'name': 'russian oil', 'focal_set_name': 'Clinton Foundation', 'foci_id': 1170, 'stories_id': 468890368}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 468890368}]",6257
553293118,http://bigstory.ap.org/article/44c48343f6244ea58768180a94d09429/trump-detail-fundraising-veterans-charities?utm_content=bufferd245c&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,AP,209366,Big Trump checks to vets groups sent on day of media report,2016-05-31 21:21:04,1879,,127285,53,0,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'foci_id': 1182, 'stories_id': 553293118}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 553293118}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 553293118}]",0
472628434,https://www.washingtonpost.com/news/post-politics/wp/2016/05/31/one-group-trump-donated-to-benefits-fundraisers-not-veterans/,Washington Post,2,"One group Trump donated to benefits fundraisers, not veterans",2016-05-31 16:17:56,1879,,127285,11,0,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'foci_id': 1182, 'stories_id': 472628434}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 472628434}, {'name': 'Emails', 'focal_set_name': 'Emails', 'foci_id': 1171, 'stories_id': 472628434}, {'name': 'russian oil', 'focal_set_name': 'Clinton Foundation', 'foci_id': 1170, 'stories_id': 472628434}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 472628434}]",2770
472679734,https://www.washingtonpost.com/politics/media-scrutiny-over-charitable-donations-to-veterans-riles-up-trump/2016/05/31/cbb1fecc-272f-11e6-b989-4e5479715b54_story.html,Washington Post,2,Media scrutiny over charitable donations to veterans riles up Trump,2016-05-31 20:18:27,1879,,127285,9,1,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'foci_id': 1182, 'stories_id': 472679734}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 472679734}, {'name': 'Emails', 'focal_set_name': 'Emails', 'foci_id': 1171, 'stories_id': 472679734}, {'name': 'russian oil', 'focal_set_name': 'Clinton Foundation', 'foci_id': 1170, 'stories_id': 472679734}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 472679734}]",1549
472665469,https://www.washingtonpost.com/opinions/donald-trump-a-one-man-lloyds-of-london/2016/05/31/1b1c6e42-276d-11e6-ae4a-3cdd5fe74204_story.html,Washington Post,2,If only Trump came with a money-back guarantee,2016-05-31 19:17:53,1879,,127285,3,7,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'foci_id': 1182, 'stories_id': 472665469}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 472665469}, {'name': 'Emails', 'focal_set_name': 'Emails', 'foci_id': 1171, 'stories_id': 472665469}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 472665469}]",629
499995439,http://www.motherjones.com/kevin-drum/2016/05/donald-trump-melts-down-epic-whinefest,Mother Jones,1112,Donald Trump melts down in epic whinefest,2016-05-31 11:21:00,1879,,127285,2,3,"[{'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 499995439}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 499995439}]",4104
499758361,https://americanbridgepac.org/more-tax-return-hypocrisy-from-donald-trump/,americanbridgepac.org,95308,More Tax Return Hypocrisy From Donald Trump,undateable,1879,,127285,1,0,[],1
501314547,http://www.whatdoesitmean.com,whatdoesitmean.com,71864,WhatDoesItMean.Com,undateable,1879,,127285,8,102,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1174, 'stories_id': 501314547}, {'name': 'Emails', 'focal_set_name': 'Emails', 'foci_id': 1171, 'stories_id': 501314547}]",9679
442077024,https://www.splcenter.org/fighting-hate/extremist-files/group/family-research-council,SPLCenter,24811,Family Research Council,undateable,1879,,127285,64,0,[],967
498371502,http://www.nytimes.com/2016/07/11/us/politics/donald-trump-republican-party.html?smprod=nytcore-iphone&smid=nytcore-iphone-share&_r=0,New York Times,1,Donald Trump Keeps Distance in G.O.P. Platform Fight on Gay Rights,2016-07-11 08:00:00,1879,,127285,16,5,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'foci_id': 1182, 'stories_id': 498371502}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 498371502}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 498371502}]",2384
512554743,https://www.yahoo.com/news/gop-platform-transgender-school-bathrooms-000000589.html,UK Yahoo Answers,62926,GOP platform committee retains tough language on transgender access to school bathrooms,2016-07-11 11:53:18,1879,,127285,10,0,"[{'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1174, 'stories_id': 512554743}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 512554743}, {'name': 'Center', 'focal_set_name': 'Retweet Partisanship Quintiles', 'foci_id': 1181, 'stories_id': 512554743}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 512554743}]",490
587585750,http://hosted2.ap.org/APDEFAULT/386c2,AP,209366,Associated Press,2009-09-17 09:26:35,1879,,127285,4,0,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'foci_id': 1182, 'stories_id': 587585750}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 587585750}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 587585750}]",1
598784005,http://hosted2.ap.org/APDEFAULT/386c25518f464186bf7a2ac026580ce7/Article_2016-08-18-US--Campaign%202016-Trump-Louisiana/id-d765b0bdff1b4c2eaf6695965d34db06,AP,209366,Associated Press,2016-08-18 08:00:00,1879,,127285,1,0,"[{'name': 'Center Left', 'focal_set_name': 'Retweet Partisanship Quintiles', 'foci_id': 1182, 'stories_id': 598784005}, {'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 598784005}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 598784005}]",0
506484967,http://www.thedailybeast.com/articles/2016/06/30/the-billionaire-pedophile-who-could-bring-down-donald-trump-and-hillary-clinton.html,The Daily Beast,1707,The Billionaire Pedophile Who Could Bring Down Donald Trump and Hillary Clinton,2016-06-30 01:00:00,1879,,127285,53,28,"[{'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 506484967}, {'name': 'Emails', 'focal_set_name': 'Emails', 'foci_id': 1171, 'stories_id': 506484967}, {'name': 'russian oil', 'focal_set_name': 'Clinton Foundation', 'foci_id': 1170, 'stories_id': 506484967}, {'name': 'Mass Market Media', 'focal_set_name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 506484967}, {'name': 'Clinton Foundation', 'focal_set_name': 'Clinton Foundation', 'foci_id': 1168, 'stories_id': 506484967}]",41073
540575850,https://www.scribd.com/document/326057237/Tiffany-Doe-Declaration#from_embed,Scribd,18529,Tiffany Doe Declaration,2016-08-22 08:00:00,1879,,127285,14,0,"[{'name': 'Center Right', 'focal_set_name': 'Retweet Partisanship Quintiles', 'foci_id': 1183, 'stories_id': 540575850}, {'name': 'Right Half', 'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1174, 'stories_id': 540575850}]",1073
547701775,http://bipartisanreport.com/2016/10/23/he-tied-plaintiff-to-a-bed-sickening-details-emerge-from-trump-rape-case-documents/?utm_content=buffer11b77&utm_medium=social&utm_source=twitter.com&utm_campaign=buffer,bipartisanreport.com,279026,'He Tied Plaintiff To A Bed': SICKENING Details Emerge From Trump Rape Case (DOCUMENTS),2016-10-23 14:27:18,1879,,127285,8,6,"[{'name': 'Left Half', 'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 547701775}]",0
588867113,https://bangordailynews.com/video/donald-trump-speaks-privately-to-supporters-in-maine/,bangordailynews.com,20320,Donald Trump speaks privately to supporters in Maine,undateable,1879,,127285,5,0,[],258
