stories_id,url,media_name,media_id,title,publish_date,snapshots_id,foci_id,timespans_id,inlink_count,outlink_count,foci,facebook_share_count
495572013,http://www.newyorker.com/magazine/2016/07/25/donald-trumps-ghostwriter-tells-all,New Yorker,1101,Donald Trump’s Ghostwriter Tells All,1970-08-22 04:11:58,1879,,127285,348,0,"[{'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 495572013, 'name': 'Left Half'}, {'focal_set_name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 495572013, 'name': 'Mass Market Media'}]",410071
551598202,https://www.youtube.com/watch?v=YUf6ypUz8LI&feature=youtu.be,YouTube,18362,"Hillary Clinton on Gaddafi We came, we saw, he died",2015-04-22 08:00:00,1879,,127285,227,0,[],0
465492699,http://www.foxnews.com/us/2016/05/13/flight-logs-show-bill-clinton-flew-on-sex-offenders-jet-much-more-than-previously-known.html,FOX News,1092,JET PURV-EYED FOR BILL Clinton a frequent flyer on sex-offender's plane,2016-05-13 13:37:38,1879,,127285,140,0,"[{'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1174, 'stories_id': 465492699, 'name': 'Right Half'}, {'focal_set_name': 'Emails', 'foci_id': 1171, 'stories_id': 465492699, 'name': 'Emails'}, {'focal_set_name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 465492699, 'name': 'Mass Market Media'}]",235172
412791857,http://www.theguardian.com/us-news/donaldtrump,Guardian,1751,Donald Trump | US news | The Guardian,undateable,1879,,127285,99,0,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'foci_id': 1182, 'stories_id': 412791857, 'name': 'Center Left'}, {'focal_set_name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 412791857, 'name': 'Mass Market Media'}]",50
441622706,https://berniesanders.com/democratic-socialism-in-the-united-states/,berniesanders.com,221763,Senator Bernie Sanders on Democratic Socialism in the United States - Bernie Sanders,undateable,1879,,127285,91,0,"[{'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 441622706, 'name': 'Left Half'}, {'focal_set_name': 'Clinton Foundation', 'foci_id': 1170, 'stories_id': 441622706, 'name': 'russian oil'}]",16590
492577844,http://www.theatlantic.com/politics/archive/2015/10/here-comes-the-berniebro-bernie-sanders/411070/,The Atlantic,1110,Here Comes the Berniebro,undateable,1879,,127285,77,1,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'foci_id': 1182, 'stories_id': 492577844, 'name': 'Center Left'}, {'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 492577844, 'name': 'Left Half'}, {'focal_set_name': 'Emails', 'foci_id': 1171, 'stories_id': 492577844, 'name': 'Emails'}, {'focal_set_name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 492577844, 'name': 'Mass Market Media'}]",28559
416549707,http://rss.nytimes.com/c/34625/f/640372/s/4cfd1ee2/sc/7/l/0L0Snytimes0N0C20A160C0A10C20A0Cus0Cpolitics0Calarmed0Ehillary0Eclinton0Esupporters0Ebegin0Efocusing0Eon0Ebernie0Esanders0Esocialist0Eedge0Bhtml0Dpartner0Frss0Gemc0Frss/story01.htm,New York Times,1,Alarmed Clinton Supporters Begin Focusing on Sanders’s Socialist Edge,2016-01-19 20:47:22,1879,,127285,68,0,"[{'focal_set_name': 'Retweet Partisanship Quintiles', 'foci_id': 1182, 'stories_id': 416549707, 'name': 'Center Left'}, {'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 416549707, 'name': 'Left Half'}, {'focal_set_name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 416549707, 'name': 'Mass Market Media'}]",9504
330209047,http://www.newyorker.com/magazine/2010/05/10/the-influencer,New Yorker,1101,The Influencer - The New Yorker,2010-05-10 08:00:00,1879,,127285,56,0,"[{'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 330209047, 'name': 'Left Half'}, {'focal_set_name': 'Clinton Foundation', 'foci_id': 1170, 'stories_id': 330209047, 'name': 'russian oil'}, {'focal_set_name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 330209047, 'name': 'Mass Market Media'}, {'focal_set_name': 'Clinton Foundation', 'foci_id': 1168, 'stories_id': 330209047, 'name': 'Clinton Foundation'}]",533
412849644,http://www.nationalmemo.com/21-questions-for-donald-trump/,nationalmemo.com,25363,21 Questions For Donald Trump,2015-07-10 12:41:59,1879,,127285,45,1,"[{'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 412849644, 'name': 'Left Half'}, {'focal_set_name': 'Clinton Foundation', 'foci_id': 1170, 'stories_id': 412849644, 'name': 'russian oil'}]",37278
397952166,http://feeds.nbcnews.com/c/35002/f/663295/s/4b94e222/sc/7/l/0L0Snbcnews0N0Cpolitics0C20A160Eelection0Ckasich0Eproposes0Enew0Egovernment0Eagency0Epromote0Ejudeo0Echristian0Evalues0En46510A1/story01.htm,MSNBC,1149,Kasich: New Government Will Help Defeat ISIS,2015-11-17 15:46:12,1879,,127285,43,0,"[{'focal_set_name': 'Retweet Partisanship Halves', 'foci_id': 1173, 'stories_id': 397952166, 'name': 'Left Half'}, {'focal_set_name': 'Mass Market Media', 'foci_id': 1172, 'stories_id': 397952166, 'name': 'Mass Market Media'}]",44008
