stories_id,url,media_name,media_id,title,publish_date,snapshots_id,foci_id,timespans_id,inlink_count,outlink_count,foci,facebook_share_count
493394681,https://www.fbi.gov/news/pressrel/press-releases/statement-by-fbi-director-james-b-comey-on-the-investigation-of-secretary-hillary-clinton2019s-use-of-a-personal-e-mail-system,FBI,18620,Statement by FBI Director James B. Comey on the Investigation of Secretary Hillary Clinton’s Use of a Personal E-Mail System,undateable,1879,,127285,624,0,"[{'foci_id': 1174, 'stories_id': 493394681, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}]",13616
484988143,https://foia.state.gov/Search/Results.aspx?collection=Clinton_Email_September_Release,foia.state.gov,73553,Virtual Reading Room Documents Search Results: U.S. Department of State - Freedom of Information Act,undateable,1879,,127285,409,0,"[{'foci_id': 1183, 'stories_id': 484988143, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Right'}, {'foci_id': 1174, 'stories_id': 484988143, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}]",140
443558623,https://www.washingtonpost.com/politics/foreign-governments-gave-millions-to-foundation-while-clinton-was-at-state-dept/2015/02/25/31937c1e-bc3f-11e4-8668-4e7ba8439ca6_story.html?wprss=rss_politics,Washington Post,2,Foreign governments gave millions to foundation while Clinton was at State,2015-02-25 07:00:00,1879,,127285,249,0,"[{'foci_id': 1182, 'stories_id': 443558623, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 443558623, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1170, 'stories_id': 443558623, 'focal_set_name': 'Clinton Foundation', 'name': 'russian oil'}, {'foci_id': 1172, 'stories_id': 443558623, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}, {'foci_id': 1168, 'stories_id': 443558623, 'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation'}]",6942
480554031,https://www.donaldjtrump.com/positions/pay-for-the-wall,donaldjtrump.com,269331,Pay for the Wall,undateable,1879,,127285,178,0,"[{'foci_id': 1174, 'stories_id': 480554031, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}]",780
545173690,https://www.theatlantic.com/international/archive/2014/08/hillary-clinton-failure-to-help-syrian-rebels-led-to-the-rise-of-isis/375832/,The Atlantic,1110,Hillary Clinton: 'Failure' to Help Syrian Rebels Led to the Rise of ISIS,undateable,1879,,127285,156,1,"[{'foci_id': 1182, 'stories_id': 545173690, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 545173690, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1172, 'stories_id': 545173690, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",35264
437328848,http://feeds.washingtonpost.com/c/34656/f/645348/s/4e6a20ea/sc/7/l/0M0Swashingtonpost0N0Cnews0Cpost0Epolitics0Cwp0C20A160C0A30C210Cdonald0Etrump0Ereveals0Eforeign0Epolicy0Eteam0Ein0Emeeting0Ewith0Ethe0Ewashington0Epost0C/story01.htm,Washington Post,2,Donald Trump reveals his foreign-policy advisory team,2016-03-21 13:48:14,1879,,127285,107,0,"[{'foci_id': 1182, 'stories_id': 437328848, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 437328848, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1172, 'stories_id': 437328848, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",25264
484820478,http://www.politico.com/blogs/media/2015/05/clinton-foundation-donors-include-dozens-of-media-organizations-individuals-207228,Politico,18268,"Clinton Foundation donors include dozens of media organizations, individuals",2016-07-01 19:09:00,1879,,127285,94,0,"[{'foci_id': 1182, 'stories_id': 484820478, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 484820478, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1170, 'stories_id': 484820478, 'focal_set_name': 'Clinton Foundation', 'name': 'russian oil'}, {'foci_id': 1172, 'stories_id': 484820478, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}, {'foci_id': 1168, 'stories_id': 484820478, 'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation'}]",1126
598068042,http://www.abc15.com/news/region-phoenix-metro/central-phoenix/loretta-lynch-bill-clinton-meet-privately-in-phoenix?utm_source=akdart,abc15.com,25612,"Loretta Lynch, Bill Clinton meet privately in Phoenix",undateable,1879,,127285,113,0,"[{'foci_id': 1183, 'stories_id': 598068042, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Right'}, {'foci_id': 1174, 'stories_id': 598068042, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1171, 'stories_id': 598068042, 'focal_set_name': 'Emails', 'name': 'Emails'}]",0
443563827,http://edition.cnn.com/2016/03/11/politics/donald-trump-chicago-protests/,CNN,1095,"Donald Trump supporters, protesters clash in Chicago - CNNPolitics.com",2016-03-11 07:00:00,1879,,127285,86,1,"[{'foci_id': 1182, 'stories_id': 443563827, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 443563827, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1172, 'stories_id': 443563827, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",50871
260507114,http://freebeacon.com/politics/the-hillary-tapes/,Free Beacon,25649,The Hillary Tapes,undateable,1879,,127285,99,0,"[{'foci_id': 1174, 'stories_id': 260507114, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1170, 'stories_id': 260507114, 'focal_set_name': 'Clinton Foundation', 'name': 'russian oil'}, {'foci_id': 1168, 'stories_id': 260507114, 'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation'}]",61453
330134419,http://www.washingtonpost.com/politics/clintons-raised-nearly-2-billion-for-foundation-since-2001/2015/02/18/b8425d88-a7cd-11e4-a7c2-03d37af98440_story.html,Washington Post,2,Clintons’ foundation has raised nearly $2 billion — and some key questions,2015-02-18 07:00:00,1879,,127285,77,0,"[{'foci_id': 1182, 'stories_id': 330134419, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 330134419, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1172, 'stories_id': 330134419, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",1488
260507786,http://www.thedailybeast.com/articles/2014/06/20/exclusive-hillary-clinton-took-me-through-hell-rape-victim-says.html,The Daily Beast,1707,"Exclusive: &#39;Hillary Clinton Took Me Through Hell,&#39; Rape Victim Says ",2014-06-20 11:24:00,1879,,127285,75,0,"[{'foci_id': 1173, 'stories_id': 260507786, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1172, 'stories_id': 260507786, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",78066
540516237,https://vault.fbi.gov/hillary-r.-clinton/hillary-r.-clinton-part-04-of-04/view,vault.fbi.gov,69774,Hillary R. Clinton Part 04 of 04,2016-10-17 04:05:00,1879,,127285,84,0,"[{'foci_id': 1174, 'stories_id': 540516237, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}]",8308
591190562,https://www.wsj.com/articles/foreign-government-gifts-to-clinton-foundation-on-the-rise-1424223031?mg=id-wsj,Wall Street Journal,1150,Foreign Government Gifts to Clinton Foundation on the Rise,2017-03-08 07:00:00,1879,,127285,79,0,"[{'foci_id': 1174, 'stories_id': 591190562, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1173, 'stories_id': 591190562, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1181, 'stories_id': 591190562, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center'}, {'foci_id': 1170, 'stories_id': 591190562, 'focal_set_name': 'Clinton Foundation', 'name': 'russian oil'}, {'foci_id': 1172, 'stories_id': 591190562, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}, {'foci_id': 1168, 'stories_id': 591190562, 'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation'}]",0
498258189,https://wikileaks.org/clinton-emails/,Wikileaks,57088,WikiLeaks - Hillary Clinton Email Archive,undateable,1879,,127285,69,1,"[{'foci_id': 1174, 'stories_id': 498258189, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Right Half'}, {'foci_id': 1171, 'stories_id': 498258189, 'focal_set_name': 'Emails', 'name': 'Emails'}]",115404
496473826,https://www.washingtonpost.com/politics/for-trump-a-new-rigged-system-the-election-itself/2016/08/02/d9fb33b0-58c4-11e6-9aee-8075993d73a2_story.html,Washington Post,2,Trump warns Republicans: The election will be ‘rigged’,2016-08-02 20:02:42,1879,,127285,69,0,"[{'foci_id': 1182, 'stories_id': 496473826, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 496473826, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1172, 'stories_id': 496473826, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",6699
505159798,http://www.nytimes.com/2016/07/06/us/politics/hillary-clinton-fbi-email-comey.html?ref=todayspaper&_r=0,New York Times,1,F.B.I. Director James Comey Recommends No Charges for Hillary Clinton on Email,2016-07-06 08:00:00,1879,,127285,52,0,"[{'foci_id': 1182, 'stories_id': 505159798, 'focal_set_name': 'Retweet Partisanship Quintiles', 'name': 'Center Left'}, {'foci_id': 1173, 'stories_id': 505159798, 'focal_set_name': 'Retweet Partisanship Halves', 'name': 'Left Half'}, {'foci_id': 1171, 'stories_id': 505159798, 'focal_set_name': 'Emails', 'name': 'Emails'}, {'foci_id': 1172, 'stories_id': 505159798, 'focal_set_name': 'Mass Market Media', 'name': 'Mass Market Media'}]",80668
442742503,https://www.clintonfoundation.org/contributors?category=%241%2C000%2C001+to+%245%2C000%2C000,clintonfoundation.org,27131,Contributor and Grantor Information,2015-10-14 13:00:02,1879,,127285,79,0,"[{'foci_id': 1170, 'stories_id': 442742503, 'focal_set_name': 'Clinton Foundation', 'name': 'russian oil'}, {'foci_id': 1168, 'stories_id': 442742503, 'focal_set_name': 'Clinton Foundation', 'name': 'Clinton Foundation'}]",2517
